application_id,field,original_value,cleaned_value,issue_type,action
INT-20010,applicant_name,iqra soomro,Iqra Soomro,Text formatting,Trimmed and title-cased
INT-20011,applicant_name,noor siddiqui,Noor Siddiqui,Text formatting,Trimmed and title-cased
INT-20005,applicant_name,ahsan memon,Ahsan Memon,Text formatting,Trimmed and title-cased
INT-20037,applicant_name,hamza mirza,Hamza Mirza,Text formatting,Trimmed and title-cased
INT-10502,applicant_name,zara siddiqui,Zara Siddiqui,Text formatting,Trimmed and title-cased
INT-20018,applicant_name,zara ali,Zara Ali,Text formatting,Trimmed and title-cased
INT-20035,applicant_name,  eman rind ,Eman Rind,Text formatting,Trimmed and title-cased
INT-10571,applicant_name,AREEBA BHATTI,Areeba Bhatti,Text formatting,Trimmed and title-cased
INT-20034,applicant_name,usman ansari,Usman Ansari,Text formatting,Trimmed and title-cased
INT-10730,applicant_name,  Saad Jatoi ,Saad Jatoi,Text formatting,Trimmed and title-cased
INT-10666,applicant_name,yasir ansari,Yasir Ansari,Text formatting,Trimmed and title-cased
INT-20024,applicant_name,iqra qureshi,Iqra Qureshi,Text formatting,Trimmed and title-cased
INT-20003,applicant_name,shayan ahmed,Shayan Ahmed,Text formatting,Trimmed and title-cased
INT-10763,applicant_name,  Fatima Chandio ,Fatima Chandio,Text formatting,Trimmed and title-cased
INT-10707,applicant_name,AREEBA RAJPUT,Areeba Rajput,Text formatting,Trimmed and title-cased
INT-20002,applicant_name,hamza khan,Hamza Khan,Text formatting,Trimmed and title-cased
INT-20016,applicant_name,bilal ali,Bilal Ali,Text formatting,Trimmed and title-cased
INT-20014,applicant_name,hussain ansari,Hussain Ansari,Text formatting,Trimmed and title-cased
INT-20007,applicant_name,iqra syed,Iqra Syed,Text formatting,Trimmed and title-cased
INT-20020,applicant_name,talha siddiqui,Talha Siddiqui,Text formatting,Trimmed and title-cased
INT-20004,applicant_name,sajid shaikh,Sajid Shaikh,Text formatting,Trimmed and title-cased
INT-10475,applicant_name,HIRA ALI,Hira Ali,Text formatting,Trimmed and title-cased
INT-20019,applicant_name,talha soomro,Talha Soomro,Text formatting,Trimmed and title-cased
INT-10026,applicant_name,sana syed,Sana Syed,Text formatting,Trimmed and title-cased
INT-10697,applicant_name,danish bhatti,Danish Bhatti,Text formatting,Trimmed and title-cased
INT-10011,applicant_name,AHSAN ALI,Ahsan Ali,Text formatting,Trimmed and title-cased
INT-20039,applicant_name,laiba khan,Laiba Khan,Text formatting,Trimmed and title-cased
INT-10783,applicant_name,MUHAMMAD ALI,Muhammad Ali,Text formatting,Trimmed and title-cased
INT-10516,applicant_name,MUHAMMAD AHMED,Muhammad Ahmed,Text formatting,Trimmed and title-cased
INT-20029,applicant_name,hamza syed,Hamza Syed,Text formatting,Trimmed and title-cased
INT-20013,applicant_name,iqra siddiqui,Iqra Siddiqui,Text formatting,Trimmed and title-cased
INT-10832,applicant_name,eman ahmed,Eman Ahmed,Text formatting,Trimmed and title-cased
INT-10071,applicant_name,DANISH RAJPUT,Danish Rajput,Text formatting,Trimmed and title-cased
INT-10746,applicant_name,HUSSAIN SHAH,Hussain Shah,Text formatting,Trimmed and title-cased
INT-10673,applicant_name,SHAYAN SHAH,Shayan Shah,Text formatting,Trimmed and title-cased
INT-10797,applicant_name,  Sana Chandio ,Sana Chandio,Text formatting,Trimmed and title-cased
INT-10732,applicant_name,NOOR RIND,Noor Rind,Text formatting,Trimmed and title-cased
INT-10018,applicant_name,  Ali Mirza ,Ali Mirza,Text formatting,Trimmed and title-cased
INT-10008,applicant_name,iqra memon,Iqra Memon,Text formatting,Trimmed and title-cased
INT-10682,applicant_name,mariam abbasi,Mariam Abbasi,Text formatting,Trimmed and title-cased
INT-10159,applicant_name,SAAD SHAH,Saad Shah,Text formatting,Trimmed and title-cased
INT-10301,applicant_name,zara ali,Zara Ali,Text formatting,Trimmed and title-cased
INT-20026,applicant_name,sana bhatti,Sana Bhatti,Text formatting,Trimmed and title-cased
INT-20009,applicant_name,saad ahmed,Saad Ahmed,Text formatting,Trimmed and title-cased
INT-20032,applicant_name,mahnoor siddiqui,Mahnoor Siddiqui,Text formatting,Trimmed and title-cased
INT-10304,applicant_name,muhammad memon,Muhammad Memon,Text formatting,Trimmed and title-cased
INT-10316,applicant_name,  Ahsan Chandio ,Ahsan Chandio,Text formatting,Trimmed and title-cased
INT-10464,applicant_name,  Hira Siddiqui ,Hira Siddiqui,Text formatting,Trimmed and title-cased
INT-10114,applicant_name,ALI SOOMRO,Ali Soomro,Text formatting,Trimmed and title-cased
INT-10201,applicant_name,  Eman Rind ,Eman Rind,Text formatting,Trimmed and title-cased
INT-10841,applicant_name,sajid khan,Sajid Khan,Text formatting,Trimmed and title-cased
INT-10049,applicant_name,MARIAM QURESHI,Mariam Qureshi,Text formatting,Trimmed and title-cased
INT-10198,applicant_name,areeba soomro,Areeba Soomro,Text formatting,Trimmed and title-cased
INT-10352,applicant_name,  Bilal Mirza ,Bilal Mirza,Text formatting,Trimmed and title-cased
INT-10152,applicant_name,IQRA JATOI,Iqra Jatoi,Text formatting,Trimmed and title-cased
INT-20008,applicant_name,ahsan qureshi,Ahsan Qureshi,Text formatting,Trimmed and title-cased
INT-20025,applicant_name,shayan jatoi,Shayan Jatoi,Text formatting,Trimmed and title-cased
INT-10442,applicant_name,  Eman Ahmed ,Eman Ahmed,Text formatting,Trimmed and title-cased
INT-10676,applicant_name,  Muhammad Siddiqui ,Muhammad Siddiqui,Text formatting,Trimmed and title-cased
INT-10703,applicant_name,  Hussain Syed ,Hussain Syed,Text formatting,Trimmed and title-cased
INT-10263,applicant_name,SIDRA MEMON,Sidra Memon,Text formatting,Trimmed and title-cased
INT-20017,applicant_name,mariam shah,Mariam Shah,Text formatting,Trimmed and title-cased
INT-10025,applicant_name,NIMRA ALI,Nimra Ali,Text formatting,Trimmed and title-cased
INT-20036,applicant_name,hira shah,Hira Shah,Text formatting,Trimmed and title-cased
INT-10739,applicant_name,TALHA SYED,Talha Syed,Text formatting,Trimmed and title-cased
INT-10190,applicant_name,nimra siddiqui,Nimra Siddiqui,Text formatting,Trimmed and title-cased
INT-20021,applicant_name,ali ansari,Ali Ansari,Text formatting,Trimmed and title-cased
INT-20031,applicant_name,sana chandio,Sana Chandio,Text formatting,Trimmed and title-cased
INT-20033,applicant_name,muhammad khan,Muhammad Khan,Text formatting,Trimmed and title-cased
INT-10130,applicant_name,  Hira Malik ,Hira Malik,Text formatting,Trimmed and title-cased
INT-20006,applicant_name,talha ali,Talha Ali,Text formatting,Trimmed and title-cased
INT-10852,applicant_name,farhan ansari,Farhan Ansari,Text formatting,Trimmed and title-cased
