application_id,applicant_name,email,phone,age,gender,city,province,education_level,university,cgpa,skills,experience_months,preferred_department,application_source,expected_stipend_pkr,submitted_at,linkedin_url
INT-20003,Shayan Ahmed,shayan.ahmed779@gmail.com,03056001759,29,Male,Faisalabad,Punjab,BS Software Engineering,IBA Karachi,3.2,"SQL, Communication",6,Software Development,LinkedIn,32000,2025-03-25 04:37:00,https://www.linkedin.com/in/shayan-ahmed779
INT-20007,Iqra Syed,iqra.syed729@yahoo.com,03464472458,30,Female,Mardan,Khyber Pakhtunkhwa,BS Information Technology,IBA Karachi,3.05,"Power BI, Statistics, Data Visualization, Python",6,Business Intelligence,LinkedIn,34000,2025-03-27 18:37:00,https://www.linkedin.com/in/iqra-syed729
INT-10441,Hamza Mirza,hamza.mirza441@gmail.com,03324007796,25,Female,Khairpur,Sindh,BS Computer Science,FAST NUCES,3.17,"Machine Learning, Power BI, Excel, Html, Css",1,Human Resources,LinkedIn,41000,2025-03-21 02:31:00,https://www.linkedin.com/in/hamza-mirza441
INT-20019,Talha Soomro,talha.soomro133@yahoo.com,03031406219,22,Prefer not to say,Faisalabad,Punjab,BS Information Technology,University of Sindh,2.7,"Excel, Tableau, Communication, Pandas, SQL",6,Data Analytics,Referral,30000,2025-04-17 17:30:00,https://www.linkedin.com/in/talha-soomro133
INT-10317,Zara Ali,zara.ali317@icloud.com,03408668882,25,Male,Nawabshah,Sindh,BS Information Technology,Shah Abdul Latif University,3.48,"Git, Power BI, Html, Css, SQL, Statistics",1,Data Analytics,LinkedIn,44000,2025-04-21 03:41:00,https://www.linkedin.com/in/zara-ali317
INT-10247,Iqra Qureshi,iqra.qureshi247@gmail.com,03252303558,20,Female,Faisalabad,Punjab,BS Information Technology,FAST NUCES,3.18,"Tableau, Statistics, Python, Pandas, Communication, SQL",0,Software Development,Internee.pk,35000,2025-04-07 14:03:00,https://www.linkedin.com/in/iqra-qureshi247
INT-10296,Hussain Ansari,hussain.ansari296@gmail.com,03301155577,27,Male,Gujranwala,Punjab,BS Economics,Mehran University,2.64,"Tableau, Machine Learning, Python, Power BI, Git",9,Business Intelligence,LinkedIn,53000,2025-03-01 22:50:00,https://www.linkedin.com/in/hussain-ansari296
INT-20029,Hamza Syed,hamza.syed302@yahoo.com,03230377516,23,Male,Gujranwala,Punjab,BS Information Technology,University of Sindh,2.88,"Git, Python",1,Software Development,University Portal,19000,2025-04-11 12:21:00,https://www.linkedin.com/in/hamza-syed302
INT-10525,Laiba Khan,laiba.khan525@outlook.com,03055261306,27,Female,Lahore,Punjab,BS Computer Science,University of Sindh,3.19,"Html, Css, Excel, SQL, Communication, Data Visualization",4,Software Development,University Portal,27000,2025-03-14 03:38:00,https://www.linkedin.com/in/laiba-khan525
INT-20032,Mahnoor Siddiqui,mahnoor.siddiqui319@icloud.com,03055683190,26,Male,Nawabshah,Sindh,BS Statistics,Mehran University,3.12,"SQL, Pandas, Communication, Git, Tableau, Power BI",6,Human Resources,Direct,56000,2025-04-01 09:38:00,https://www.linkedin.com/in/mahnoor-siddiqui319
