application_id,applicant_name,email,phone,age,gender,city,province,education_level,university,cgpa,skills,experience_months,preferred_department,application_source,expected_stipend_pkr,submitted_at,linkedin_url,skill_count,experience_years
INT-10285,Mariam Qureshi,mariam.qureshi285@yahoo.com,03438331996,26,Male,Lahore,Punjab,BS Computer Science,NED University,2.98,"Git, Excel, SQL, Tableau",4,Business Intelligence,Referral,39000,2025-03-12 03:25:00,https://www.linkedin.com/in/mariam-qureshi285,4,0.3
INT-10781,Fatima Shah,fatima.shah781@outlook.com,03225758700,24,Male,Multan,Punjab,BS Computer Science,NUST,3.54,"SQL, Git, Communication, Statistics, Data Visualization, Tableau",6,Business Intelligence,Internee.pk,10000,2025-04-28 19:42:00,https://www.linkedin.com/in/fatima-shah781,6,0.5
INT-10024,Noor Malik,noor.malik24@yahoo.com,03066174346,30,Male,Multan,Punjab,BS Computer Science,FAST NUCES,4.0,"Tableau, Git, Power BI",14,Software Development,University Portal,29000,2025-04-13 18:42:00,https://www.linkedin.com/in/noor-malik24,3,1.2
INT-20010,Iqra Soomro,iqra.soomro846@outlook.com,03355903200,24,Male,Sukkur,Sindh,BBA,University of Karachi,3.44,"Html, Css, Python",10,Human Resources,University Portal,35000,2025-04-28 20:33:00,https://www.linkedin.com/in/iqra-soomro846,3,0.8
INT-10233,Ali Rajput,ali.rajput233@outlook.com,03363065695,23,Male,Islamabad,Islamabad Capital Territory,BS Statistics,University of Sindh,2.41,"Data Visualization, Communication",5,Software Development,Indeed,19000,2025-04-18 22:13:00,https://www.linkedin.com/in/ali-rajput233,2,0.4
INT-10565,Noor Baloch,noor.baloch565@icloud.com,03114230640,28,Female,Lahore,Punjab,BS Information Technology,Mehran University,3.09,"SQL, Python, Pandas, Excel, Communication",14,Data Analytics,LinkedIn,10000,2025-04-21 08:25:00,https://www.linkedin.com/in/noor-baloch565,5,1.2
INT-10689,Farhan Shah,farhan.shah689@outlook.com,03209688987,22,Female,Gujranwala,Punjab,BS Statistics,FAST NUCES,2.11,"Statistics, Tableau, SQL, Machine Learning",9,Data Analytics,Referral,26000,2025-04-26 16:13:00,https://www.linkedin.com/in/farhan-shah689,4,0.8
INT-20011,Noor Siddiqui,noor.siddiqui83@yahoo.com,03438231137,23,Male,Islamabad,Islamabad Capital Territory,BS Economics,NUST,3.2,"Power BI, Communication, Statistics, SQL, Tableau, Python",24,Marketing,LinkedIn,21000,2025-03-19 02:19:00,https://www.linkedin.com/in/noor-siddiqui83,6,2.0
INT-10623,Hamza Mirza,hamza.mirza623@icloud.com,03416361749,20,Female,Islamabad,Islamabad Capital Territory,BS Economics,Punjab University,2.79,"Power BI, Git",13,Data Analytics,Direct,36000,2025-04-01 22:40:00,Not Provided,2,1.1
INT-10148,Zain Rajput,zain.rajput148@icloud.com,03428757516,29,Female,Lahore,Punjab,BBA,NED University,3.08,"Excel, Machine Learning, Pandas, Data Visualization",12,Data Analytics,LinkedIn,11000,2025-04-01 18:48:00,Not Provided,4,1.0
INT-10588,Bilal Shah,bilal.shah588@outlook.com,03381742762,22,Male,Rawalpindi,Punjab,BS Information Technology,Bahria University,3.16,"Tableau, Excel, Machine Learning, Statistics",12,Data Analytics,LinkedIn,30000,2025-04-05 22:28:00,https://www.linkedin.com/in/bilal-shah588,4,1.0
INT-10849,Eman Rind,eman.rind849@yahoo.com,03196829359,20,Female,Quetta,Balochistan,BS Software Engineering,COMSATS University,3.07,"Tableau, Pandas, Git",11,Human Resources,Indeed,48000,2025-03-07 19:54:00,https://www.linkedin.com/in/eman-rind849,3,0.9
