application_id,applicant_name,email,phone,age,gender,city,province,education_level,university,cgpa,skills,experience_months,preferred_department,application_source,expected_stipend_pkr,submitted_at,linkedin_url
INT-10285,Mariam Qureshi,mariam.qureshi285@yahoo.com,03438331996,26,Male,Lahore,Punjab,BS Computer Science,NED University,2.98,"Git, Excel, SQL, Tableau",4,Business Intelligence,Referral,39000,2025-03-12 03:25:00,https://www.linkedin.com/in/mariam-qureshi285
INT-10781,Fatima Shah,fatima.shah781@outlook.com,03225758700,24,Male,Multan,Punjab,BS Computer Science,NUST,3.54,"SQL, Git, Communication, Statistics, Data Visualization, Tableau",6,Business Intelligence,Internee.pk,10000,2025-04-28 19:42:00,https://www.linkedin.com/in/fatima-shah781
INT-10024,Noor Malik,NOOR.MALIK24@YAHOO.COM,03066174346,30,Male,Multan,Punjab,BS Computer Science,FAST NUCES,4.0,"Tableau, Git, Power BI",14,Software Development,University Portal,29000,2025-04-13 18:42:00,https://www.linkedin.com/in/noor-malik24
INT-20010,iqra soomro,IQRA.SOOMRO846@OUTLOOK.COM,03355903200,24,Male,Sukkur,Sindh,BBA,University of Karachi,3.44,"HTML/CSS, Python",10,Human Resources,University Portal,35000,2025-04-28 20:33:00,https://www.linkedin.com/in/iqra-soomro846
INT-10233,Ali Rajput,ALI.RAJPUT233@OUTLOOK.COM,03363065695,23,Male,Islamabad,Islamabad Capital Territory,BS Statistics,University of Sindh,2.41,"Data Visualization, Communication",5,Software Development,Indeed,19000,2025-04-18 22:13:00,https://www.linkedin.com/in/ali-rajput233
INT-10565,Noor Baloch,noor.baloch565@icloud.com,03114230640,28,Female,Lahore,Punjab,BS Information Technology,Mehran University,3.09,sql; Python; pandas; Excel; Communication,14,Data Analytics,LinkedIn,10000,2025-04-21 08:25:00,https://www.linkedin.com/in/noor-baloch565
INT-10689,Farhan Shah,farhan.shah689@outlook.com,03209688987,22,Female,Gujranwala,Punjab,BS Statistics,FAST NUCES,2.11,"Statistics, Tableau, SQL, Machine Learning",9,Data Analytics,Referral,26000,2025-04-26 16:13:00,https://www.linkedin.com/in/farhan-shah689
INT-20011,noor siddiqui,NOOR.SIDDIQUI83@YAHOO.COM,03438231137,23,Male,Islamabad,Islamabad Capital Territory,BS Economics,NUST,3.2,"Power BI, Communication, Statistics, SQL, Tableau, Python",24,Marketing,LinkedIn,21000,2025-03-19 02:19:00,https://www.linkedin.com/in/noor-siddiqui83
INT-10623,Hamza Mirza,HAMZA.MIRZA623@ICLOUD.COM,03416361749,20,Female,Islamabad,Islamabad Capital Territory,BS Economics,Punjab University,2.79,"Power BI, Git",13,Data Analytics,Direct,36000,2025-04-01 22:40:00,
INT-10148,Zain Rajput,zain.rajput148@icloud.com,03428757516,29,Female,Lahore,Punjab,BBA,NED University,3.08,"Excel, Machine Learning, Pandas, Data Visualization",12,Data Analytics,LinkedIn,11000,2025-04-01 18:48:00,
INT-10588,Bilal Shah,bilal.shah588@outlook.com,03381742762,22,Male,Rawalpindi ,Punjab,BS Information Technology,Bahria University,3.16,"Tableau, Excel, Machine Learning, Statistics",12,Data Analytics,LinkedIn,250000,2025-04-05 22:28:00,https://www.linkedin.com/in/bilal-shah588
INT-10849,Eman Rind,eman.rind849@yahoo.com,03196829359,20,Female,Quetta,Balochistan,BS Software Engineering,COMSATS University,3.07,"Tableau, Pandas, Git",11,Human Resources,Indeed,48000,2025-03-07 19:54:00,https://www.linkedin.com/in/eman-rind849
INT-20005,ahsan memon, AHSAN.MEMON669@OUTLOOK.COM ,03447043621,26,Male,Khairpur,Sindh,BS Statistics,Shah Abdul Latif University,2.59,"SQL, Pandas, Statistics, Data Visualization",29,Marketing,Direct,25000,2025-03-09 18:09:00,https://www.linkedin.com/in/ahsan-memon669
INT-10776,Rida Ansari,rida.ansari776@icloud.com,03381608253,20,Female,Abbottabad,Khyber Pakhtunkhwa,BS Information Technology,IBA Karachi,2.51,"Power BI, Machine Learning, Python, Communication, SQL, HTML/CSS",4,Software Development,Internee.pk,48000,2025-03-08 02:58:00,https://www.linkedin.com/in/rida-ansari776
INT-10696,Bilal Syed,bilal.syed696@yahoo.com,03338148624,28,Male,Lahore,Punjab,BBA,COMSATS University,2.78,"Excel, HTML/CSS",8,Software Development,Internee.pk,36000,2025-03-17 13:50:00,https://www.linkedin.com/in/bilal-syed696
INT-10698,Hira Rind,hira.rind698@gmail.com,0326-589 1815,25,Male,Lahore,Punjab,BS Computer Science,LUMS,2.9,"Machine Learning, Git, Excel, Communication",6,Finance,University Portal,28000,2025-03-25 05:49:00,https://www.linkedin.com/in/hira-rind698
INT-10826,Rida Bhatti,rida.bhatti826@icloud.com,03007015134,27,Male,Islamabad,Islamabad Capital Territory,BS Statistics,Shah Abdul Latif University,3.27,"Excel, HTML/CSS, Git, Pandas, Machine Learning, SQL",1,Data analyst,Indeed,20000,2025-03-21 08:41:00,https://www.linkedin.com/in/rida-bhatti826
INT-10750,Danish Soomro,danish.soomro750@outlook.com,0305 4627106,29,Male,Abbottabad,Khyber Pakhtunkhwa,BS Information Technology,Punjab University,3.33,"Tableau, Machine Learning, Git",8,Human Resources,Referral,23000,2025-03-03 06:22:00,https://www.linkedin.com/in/danish-soomro750
INT-10365,Shayan Chandio,shayan.chandio365@yahoo.com,03067557742,20,Female,Peshawar,Khyber Pakhtunkhwa,BS Software Engineering,NED University,3.3,"Power BI, Statistics, Communication, HTML/CSS, Machine Learning, Python",4,Product,Referral,20000,2025-04-08 14:51:00,https://www.linkedin.com/in/shayan-chandio365
INT-10082,Hira Malik,hira.malik82@gmail.com,03428172344,30,Male,Mardan,Khyber Pakhtunkhwa,BS Information Technology,Bahria University,2.0,"Excel, Communication",22,Data Analytics,Internee.pk,51000,2025-03-10 01:36:00,https://www.linkedin.com/in/hira-malik82
INT-10687,Mariam Memon,mariam.memon687@gmail.com,03347672111,23,Female,Hyderabad,Sindh,BS Computer Science,University of Sindh,2.59,"Data Visualization, Communication, SQL",6,Data Analytics,University Portal,20000,2025-04-17 09:11:00,https://www.linkedin.com/in/mariam-memon687
INT-10411,Sana Siddiqui,sana.siddiqui411@outlook.com,03067297631,25,Male,Karachi,Sindh,BBA,NUST,3.54,"Excel, Statistics, Communication, Pandas, Tableau",15,Data Analytics,Referral,54000,2025-04-17 12:26:00,https://www.linkedin.com/in/sana-siddiqui411
INT-10704,Mahnoor Soomro,mahnoor.soomro704@yahoo.com,03440647851,29,Female,Islamabad,Islamabad Capital Territory,BS Software Engineering,Bahria University,3.17,"Power BI, Pandas, Git, HTML/CSS, Machine Learning",8,Data Analytics,Referral,10000,2025-04-08 14:08:00,https://www.linkedin.com/in/mahnoor-soomro704
INT-10450,Mariam Rajput,mariam.rajput450@gmail.com,03043343016,23,Male,Faisalabad,Punjab,BS Data Science,IBA Karachi,2.78,"Power BI, HTML/CSS, Machine Learning, Git",19,Product,Internee.pk,33000,2025-03-08 23:58:00,https://www.linkedin.com/in/mariam-rajput450
INT-10743,Hamza Abbasi, hamza.abbasi743@gmail.com ,03110795650,28,Male,Rawalpindi,Punjab,B.S Information Technology,Shah Abdul Latif University,2.95,"Communication, Excel, Power BI, Git",15,Product,Referral,500000,2025-04-23 19:36:00,https://www.linkedin.com/in/hamza-abbasi743
INT-10035,Zain Chandio,zain.chandio35@icloud.com,03223708773,27,Male,Karachi,Sindh,BBA,FAST NUCES,2.8,"Statistics, Python, Machine Learning, Communication",13,Finance,Direct,30000,2025-03-30 05:59:00,https://www.linkedin.com/in/zain-chandio35
INT-10241,Zara Qureshi,zara.qureshi241@gmail.com,03066265598,18,Male,Sukkur,Sindh,BS Data Science,IBA Karachi,2.2,"Excel, Tableau",9,Data Analytics,University Portal,29000,2025-03-31 01:53:00,https://www.linkedin.com/in/zara-qureshi241
INT-10081,Rida Soomro,rida.soomro81@gmail.com,03113769345,22,Female,Peshawar,Khyber Pakhtunkhwa,BS Information Technology,COMSATS University,2.79,"Data Visualization, Communication",19,Human Resources,University Portal,31000,2025-03-24 17:21:00,https://www.linkedin.com/in/rida-soomro81
INT-10787,Fatima Memon,fatima.memon787@outlook.com,03386310031,24,Female,Nawabshah,Sindh,BS Computer Science,IBA Karachi,3.15,"Power BI, SQL, Communication, Data Visualization, Excel, Pandas",3,Marketing,University Portal,27000,2025-03-17 20:34:00,https://www.linkedin.com/in/fatima-memon787
INT-10709,Areeba Jatoi,areeba.jatoi709@gmail.com,03012753228,27,Male,KHAIRPUR,Sindh,BS Statistics,Shah Abdul Latif University,2.82,"Pandas, Machine Learning, Excel, SQL, Statistics",4,Human Resources,University Portal,49000,2025-04-26 22:35:00,https://www.linkedin.com/in/areeba-jatoi709
INT-10710,Hira Memon,hira.memon710@yahoo.com,03382749004,25,Male,Karachi,Sindh,BS Computer Science,University of Karachi,3.01,"Pandas, Statistics, SQL, Git, Power BI",15,Finance,University Portal,50000,2025-04-15 13:07:00,https://www.linkedin.com/in/hira-memon710
INT-10820,Shayan Rind,shayan.rind820@outlook.com,03246791065,23,Female,Hyderabad,Sindh,BBA,Bahria University,2.66,"Excel, Git",6,Human Resources,Direct,10000,2025-04-26 23:32:00,https://www.linkedin.com/in/shayan-rind820
INT-10177,Yasir Mirza,yasir.mirza177@gmail.com,03417226587,16,Female,Larkana,Sindh,BS Information Technology,LUMS,3.06,"Machine Learning, Git, Excel, Power BI, Tableau, Python",2,Software Development,Indeed,44000,2025-03-23 05:53:00,https://www.linkedin.com/in/yasir-mirza177
INT-10364,Eman Khan,eman.khan364@outlook.com,03307986313,26,Male,Quetta,Balochistan,BS Data Science,University of Karachi,3.15,Git; Communication; HTML/CSS; SQL; excel; Machine Learning,13,Marketing,University Portal,30000,2025-04-23 14:40:00,https://www.linkedin.com/in/eman-khan364
INT-10020,Saad Ali,saad.ali20@gmail.com,03118178792,27,Female,Larkana,Sindh,BS Information Technology,Bahria University,2.89,"Git, Statistics, HTML/CSS",15,Product,Internee.pk,51000,2025-04-06 00:11:00,https://www.linkedin.com/in/saad-ali20
INT-10249,Mariam Chandio,mariam.chandio249@outlook.com,03094852688,26,Female,Faisalabad,Punjab,BS Information Technology,FAST NUCES,3.42,"Pandas, HTML/CSS, Excel, Communication",14,Product,Direct,20000,2025-04-22 23:58:00,https://www.linkedin.com/in/mariam-chandio249
INT-10501,Hussain Bhatti,hussain.bhatti501@icloud.com,03435726438,23,Male,Faisalabad,Punjab,BS Computer Science,LUMS,2.88,"Git, Machine Learning",18,Business Intelligence,Indeed,21000,2025-03-07 13:58:00,https://www.linkedin.com/in/hussain-bhatti501
INT-10677,Danish Abbasi,danish.abbasi677@gmail.com,+92 306 729 7354,24,Female,Abbottabad,Khyber Pakhtunkhwa,BBA,NED University,3.12,"HTML/CSS, Data Visualization, Communication, Tableau, Power BI",3,Business Intelligence,LinkedIn,44000,2025-04-15 15:34:00,https://www.linkedin.com/in/danish-abbasi677
INT-10289,Saad Soomro,saad.soomro289@gmail.com,+92 322 481 6486,24,Male,Sukkur,Sindh,BS Economics,IBA Karachi,2.77,"Pandas, Machine Learning, Communication, Data Visualization, HTML/CSS",24,Finance,Indeed,19000,2025-04-15 18:53:00,https://www.linkedin.com/in/saad-soomro289
INT-20037,hamza mirza,HAMZA.MIRZA441@GMAIL.COM,03324007796,25,Female,Khairpur,Sindh,BS Computer Science,FAST NUCES,3.17,"Machine Learning, Power BI, Excel, HTML/CSS",1,Human Resources,LinkedIn,41000,2025-03-21 04:24:00,https://www.linkedin.com/in/hamza-mirza441
INT-10794,Bilal Abbasi, bilal.abbasi794@outlook.com ,03427686729,20,Male,Multan,Punjab,BS Statistics,Punjab University,2.62,"Python, HTML/CSS, Tableau, Git",15,Data Analytics,Direct,32000,2025-04-07 22:21:00,https://www.linkedin.com/in/bilal-abbasi794
INT-10416,Danish Soomro,danish.soomro416@gmail.com,03302342641,25,Female,Sukkur,Sindh,BS Computer Science,NED University,4.0,"Python, Pandas, Git, HTML/CSS, SQL, Data Visualization",1,Software Development,LinkedIn,42000,2025-03-23 04:14:00,https://www.linkedin.com/in/danish-soomro416
INT-10502,zara siddiqui,zara.siddiqui502@gmail.com,0332-314 9655,24,Male,Peshawar,Khyber Pakhtunkhwa,BS Information Technology,LUMS,2.58,"Pandas, Statistics, Communication, Python, Power BI, Tableau",12,Marketing,Indeed,28000,2025-03-20 10:29:00,https://www.linkedin.com/in/zara-siddiqui502
INT-10297,Nimra Siddiqui,nimra.siddiqui297@outlook.com,03411757422,26,Female,Rawalpindi,Punjab,BS Information Technology,Bahria University,2.22,"Tableau, Power BI, Git, Statistics, SQL, Machine Learning",31,Finance,Internee.pk,16000,2025-04-16 02:01:00,https://www.linkedin.com/in/nimra-siddiqui297
INT-10061,Usman Rajput,usman.rajput61@icloud.com,03447336533,22,Male,Khairpur,Sindh,BS Software Engineering,LUMS,3.5,"Data Visualization, Machine Learning, Statistics, Tableau, Python, Power BI",18,Data Analytics,Direct,50000,2025-04-22 11:00:00,https://www.linkedin.com/in/usman-rajput61
INT-10725,Laiba Syed,laiba.syed725@icloud.com,03305262847,21,Female,Mardan,Khyber Pakhtunkhwa,BS Information Technology,NUST,2.81,"Statistics, Python",9,Finance,Direct,29000,2025-04-18 05:36:00,https://www.linkedin.com/in/laiba-syed725
INT-10504,Talha Rind,talha.rind504@icloud.com,03282213842,28,Male,,Sindh,BS Computer Science,NED University,2.66,"Excel, Python, Data Visualization",7,Software Development,LinkedIn,39000,2025-03-20 19:23:00,https://www.linkedin.com/in/talha-rind504
INT-10423,Ali Soomro,ali.soomro423@icloud.com,03266215193,23,Female,Larkana,Sindh,bs information technology,University of Sindh,3.16,"Machine Learning, HTML/CSS, Communication, Statistics, Python",12,Data Analytics,Direct,33000,2025-03-08 09:39:00,https://www.linkedin.com/in/ali-soomro423
INT-20018,zara ali,ZARA.ALI317@ICLOUD.COM,03408668882,25,Male,Nawabshah,Sindh,BS Information Technology,Shah Abdul Latif University,3.48,"Git, Power BI, HTML/CSS, SQL, Statistics",1,Data Analytics,LinkedIn,44000,2025-04-21 05:02:00,https://www.linkedin.com/in/zara-ali317
INT-10319,Mahnoor Siddiqui,mahnoor.siddiqui319@icloud.com,03055683190,26,Male,Nawabshah,Sindh,BS Statistics,Mehran University,3.12,"SQL, Pandas, Communication, Git, Tableau, Power BI",6,Human Resources,Direct,56000,2025-04-01 09:11:00,https://www.linkedin.com/in/mahnoor-siddiqui319
INT-10694,Muhammad Soomro,MUHAMMAD.SOOMRO694@GMAIL.COM,03438009150,23,Male,Gujranwala,Punjab,BS Data Science,,,"Pandas, Data Visualization, Power BI, Git",1,Business Intelligence,LinkedIn,34000,2025-04-16 03:23:00,https://www.linkedin.com/in/muhammad-soomro694
INT-20035,  eman rind ,EMAN.RIND201@ICLOUD.COM,03150945407,22,Male,Gujranwala,Punjab,BS Computer Science,University of Karachi,3.51,"Machine Learning, Python, Git, Power BI, Data Visualization",13,Data Analytics,Direct,-10000,2025-04-11 00:30:00,https://www.linkedin.com/in/eman-rind201
INT-10686,Ahsan Malik,ahsan.malik686@outlook.com,03054819296,32,Male,KARACHI,Sindh,BS Computer Science,Bahria University,3.06,"Data Visualization, Tableau, HTML/CSS",9,Software Development,Indeed,13000,2025-04-11 23:30:00,https://www.linkedin.com/in/ahsan-malik686
INT-10854,Zara Ahmed,zara.ahmed854@outlook.com,03414370125,25,Female,Islamabad,Islamabad Capital Territory,BS Computer Science,Shah Abdul Latif University,3.13,"Machine Learning, Communication, Git, SQL, Tableau",9,Human Resources,Referral,27000,2025-03-12 20:49:00,https://www.linkedin.com/in/zara-ahmed854
INT-10695,Talha Siddiqui,talha.siddiqui695@gmail.com,03034612934,15,Female,Khairpur,Sindh,BS Computer Science,FAST NUCES,3.27,Machine Learning / excel,7,Data Analytics,Internee.pk,39000,2025-03-05 01:24:00,https://www.linkedin.com/in/talha-siddiqui695
INT-10118,Yasir Ansari,yasir.ansari118@gmail.com,03222373803,23,Female,Gujranwala,Punjab,BS Data Science,University of Sindh,2.9,"Tableau, Data Visualization",21,Software Development,LinkedIn,20000,2025-04-21 11:41:00,https://www.linkedin.com/in/yasir-ansari118
INT-10571,AREEBA BHATTI,areeba.bhatti571@yahoo.com,03342207110,29,Male,Hyderabad,Sindh,BS Software Engineering,NED University,2.74,"Excel, Data Visualization",16,Software Development,Referral,37000,2025-03-10 06:27:00,https://www.linkedin.com/in/areeba-bhatti571
